"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Barranquismo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Casting","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Concursos de comer","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Danza en silla de ruedas","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Escalada","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Frisbee","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fierljeppen","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","hacky attack","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Golf","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kabaddi","Deporte"
